objectid,parcelcount,combinedvaccount,combinedvacpercentage,date_update,Shape__Area,Shape__Length
18724,3,0,0,2025/11/30 00:00:00+00,27079.93359375,799.766892108518
18725,9,0,0,2025/11/30 00:00:00+00,1578.53125,173.85904887715
18726,14,0,0,2025/11/30 00:00:00+00,1345.6015625,212.715534882671
18727,18,1,5.55555556,2025/11/30 00:00:00+00,44426.32421875,895.69512318247
18728,26,13,50,2025/11/30 00:00:00+00,2974.65625,368.827683638788
18729,1,,,2025/11/30 00:00:00+00,,
18730,10,8,80,2025/11/30 00:00:00+00,15399.453125,559.855016107845
18731,6,1,16.66666667,2025/11/30 00:00:00+00,1069.7890625,131.642810232569
18732,3,0,0,2025/11/30 00:00:00+00,23040.375,728.815981703327
18733,3,0,0,2025/11/30 00:00:00+00,3887.921875,305.173487422435
18734,6,0,0,2025/11/30 00:00:00+00,884.8828125,122.617622843761
18735,1,0,0,2025/11/30 00:00:00+00,1952.58203125,187.490061484942
18736,6,3,50,2025/11/30 00:00:00+00,1181.47265625,138.373840168003
18737,3,0,0,2025/11/30 00:00:00+00,497.94921875,90.1024755108144
18738,25,1,4,2025/11/30 00:00:00+00,13400.09375,518.155091255076
18739,1,,,2025/11/30 00:00:00+00,,
18740,270,0,0,2025/11/30 00:00:00+00,640394.70703125,10921.0093624651
18741,20,3,15,2025/11/30 00:00:00+00,10989.6875,567.215240260871
18742,6,0,0,2025/11/30 00:00:00+00,799.7265625,115.5707860027
18743,6,0,0,2025/11/30 00:00:00+00,1007.66796875,128.061282530746
18744,24,0,0,2025/11/30 00:00:00+00,6945.59375,466.386818232798
18745,30,0,0,2025/11/30 00:00:00+00,3351.1953125,371.830754199203
18746,25,1,4,2025/11/30 00:00:00+00,52859.74609375,907.782245507878
18747,31,0,0,2025/11/30 00:00:00+00,3692.0859375,434.57369067025
18748,28,1,3.57142857,2025/11/30 00:00:00+00,11908.32421875,610.801058187491
18749,9,4,44.44444444,2025/11/30 00:00:00+00,5094.15625,387.064801962274
18750,1,,,2025/11/30 00:00:00+00,,
18751,7,0,0,2025/11/30 00:00:00+00,2086.2578125,187.076560402504
18752,3,1,33.33333333,2025/11/30 00:00:00+00,408.30078125,110.136796994013
18753,4,0,0,2025/11/30 00:00:00+00,877.75,130.021341875541
18754,8,2,25,2025/11/30 00:00:00+00,18132.578125,811.633546493917
18755,23,0,0,2025/11/30 00:00:00+00,3085.171875,348.085074422077
18756,12,3,25,2025/11/30 00:00:00+00,157603.06640625,2141.45351132852
18757,28,0,0,2025/11/30 00:00:00+00,5335.75,414.547888512416
18758,1,0,0,2025/11/30 00:00:00+00,2718.89453125,220.736821885036
18759,6,0,0,2025/11/30 00:00:00+00,1004.42578125,129.747867395366
18760,18,0,0,2025/11/30 00:00:00+00,3924.42578125,297.220482132536
18761,23,3,13.04347826,2025/11/30 00:00:00+00,12602.4375,670.941437223312
18762,42,2,4.76190476,2025/11/30 00:00:00+00,10004.0703125,482.4470762791
18763,1,0,0,2025/11/30 00:00:00+00,1519.875,196.731652790157
18764,6,1,16.66666667,2025/11/30 00:00:00+00,1547.98828125,165.150525640319
18765,2,0,0,2025/11/30 00:00:00+00,11969.75390625,621.312645684258
18766,14,0,0,2025/11/30 00:00:00+00,46840.28125,1377.92134154688
18767,8,0,0,2025/11/30 00:00:00+00,2082.21875,186.52001237818
18768,1,0,0,2025/11/30 00:00:00+00,149104.046875,1573.62640769886
18769,14,6,42.85714286,2025/11/30 00:00:00+00,7405.4453125,495.262804183023
18770,6,2,33.33333333,2025/11/30 00:00:00+00,1125.6328125,134.75326017956
18771,9,4,44.44444444,2025/11/30 00:00:00+00,700.57421875,119.585981415366
18772,7,0,0,2025/11/30 00:00:00+00,17266.46484375,535.68792060887
18773,28,0,0,2025/11/30 00:00:00+00,21042.19140625,595.521420123513
18774,16,12,75,2025/11/30 00:00:00+00,1714.71484375,210.492373854912
18775,24,2,8.33333333,2025/11/30 00:00:00+00,2779.6484375,381.980263918084
18776,5,2,40,2025/11/30 00:00:00+00,10621.6953125,493.795554236022
18777,9,0,0,2025/11/30 00:00:00+00,1680.51953125,171.569937956853
18778,19,0,0,2025/11/30 00:00:00+00,1998.1484375,246.485959871176
18779,17,0,0,2025/11/30 00:00:00+00,3710.34375,280.815171099732
18780,6,1,16.66666667,2025/11/30 00:00:00+00,514.12890625,110.560510189643
18781,9,0,0,2025/11/30 00:00:00+00,1238.1953125,152.303716647432
18782,21,20,95.23809524,2025/11/30 00:00:00+00,2691.7734375,279.800903536089
18783,11,5,45.45454545,2025/11/30 00:00:00+00,9528.5078125,553.34462178544
18784,21,2,9.52380952,2025/11/30 00:00:00+00,53471.84765625,1272.52120179947
18785,21,10,47.61904762,2025/11/30 00:00:00+00,2681.9453125,281.943014549221
18786,7,0,0,2025/11/30 00:00:00+00,1002.98828125,134.345493002147
18787,16,0,0,2025/11/30 00:00:00+00,12873.63671875,482.726098036723
18788,8,0,0,2025/11/30 00:00:00+00,1016.72265625,135.156503706714
18789,10,5,50,2025/11/30 00:00:00+00,6764,515.038287192775
18790,2,0,0,2025/11/30 00:00:00+00,20523.16015625,624.719853944586
18791,27,2,7.40740741,2025/11/30 00:00:00+00,3988.49609375,374.426070352227
18792,8,0,0,2025/11/30 00:00:00+00,2717.95703125,222.667054109213
18793,14,0,0,2025/11/30 00:00:00+00,3148.01953125,249.420288134958
18794,25,0,0,2025/11/30 00:00:00+00,3861.27734375,354.54939582206
